path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/bluray/Inglourious Basterds (2009).mkv	h264	1080	24000/1001	24.00	24.00	0	696	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Pulp Fiction_t00.mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/Shaun of the Dead (2004).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/The Fate of the Furious (2017).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/The Fast and the Furious - Tokyo Drift (2006).mkv	h264	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/The Fast and the Furious_t00.mkv	vc1	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Braindead.mkv	mpeg2video	480	30000/1001	24.00	24.26	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bruce Almighty.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/The Mummy_t00.mkv	vc1	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/bluray/The Mummy Returns (2001).mkv	vc1	1080	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bubba HoTep (2002).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Buffy the Vampire Slayer (1992).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	652	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e01 - Welcome to the Hellmouth.mkv	mpeg2video	480	30000/1001	24.13	24.10	0	723	SOFT_TC_NO_FILTER
